Hafta,volume
2016-01-03,24
2016-01-10,24
2016-01-17,23
2016-01-24,26
2016-01-31,26
2016-02-07,29
2016-02-14,30
2016-02-21,31
2016-02-28,31
2016-03-06,32
2016-03-13,29
2016-03-20,29
2016-03-27,28
2016-04-03,28
2016-04-10,28
2016-04-17,31
2016-04-24,28
2016-05-01,26
2016-05-08,28
2016-05-15,28
2016-05-22,26
2016-05-29,29
2016-06-05,24
2016-06-12,26
2016-06-19,24
2016-06-26,26
2016-07-03,31
2016-07-10,29
2016-07-17,23
2016-07-24,32
2016-07-31,33
2016-08-07,34
2016-08-14,36
2016-08-21,32
2016-08-28,33
2016-09-04,32
2016-09-11,31
2016-09-18,32
2016-09-25,33
2016-10-02,33
2016-10-09,32
2016-10-16,33
2016-10-23,28
2016-10-30,28
2016-11-06,30
2016-11-13,31
2016-11-20,28
2016-11-27,30
2016-12-04,26
2016-12-11,26
2016-12-18,27
2016-12-25,26
2017-01-01,27
2017-01-08,28
2017-01-15,29
2017-01-22,32
2017-01-29,36
2017-02-05,38
2017-02-12,37
2017-02-19,37
2017-02-26,36
2017-03-05,32
2017-03-12,32
2017-03-19,31
2017-03-26,29
2017-04-02,33
2017-04-09,31
2017-04-16,30
2017-04-23,29
2017-04-30,31
2017-05-07,29
2017-05-14,28
2017-05-21,30
2017-05-28,28
2017-06-04,30
2017-06-11,31
2017-06-18,28
2017-06-25,35
2017-07-02,37
2017-07-09,34
2017-07-16,34
2017-07-23,36
2017-07-30,37
2017-08-06,35
2017-08-13,34
2017-08-20,31
2017-08-27,28
2017-09-03,36
2017-09-10,32
2017-09-17,30
2017-09-24,30
2017-10-01,29
2017-10-08,29
2017-10-15,30
2017-10-22,30
2017-10-29,28
2017-11-05,28
2017-11-12,30
2017-11-19,28
2017-11-26,30
2017-12-03,27
2017-12-10,31
2017-12-17,28
2017-12-24,27
2017-12-31,28
2018-01-07,31
2018-01-14,25
2018-01-21,29
2018-01-28,32
2018-02-04,32
2018-02-11,29
2018-02-18,30
2018-02-25,31
2018-03-04,30
2018-03-11,28
2018-03-18,30
2018-03-25,32
2018-04-01,27
2018-04-08,28
2018-04-15,28
2018-04-22,29
2018-04-29,29
2018-05-06,29
2018-05-13,31
2018-05-20,30
2018-05-27,29
2018-06-03,27
2018-06-10,26
2018-06-17,31
2018-06-24,31
2018-07-01,32
2018-07-08,35
2018-07-15,34
2018-07-22,35
2018-07-29,31
2018-08-05,30
2018-08-12,27
2018-08-19,30
2018-08-26,38
2018-09-02,33
2018-09-09,32
2018-09-16,27
2018-09-23,25
2018-09-30,25
2018-10-07,25
2018-10-14,25
2018-10-21,23
2018-10-28,25
2018-11-04,23
2018-11-11,21
2018-11-18,23
2018-11-25,22
2018-12-02,23
2018-12-09,21
2018-12-16,25
2018-12-23,23
2018-12-30,25
2019-01-06,25
2019-01-13,23
2019-01-20,27
2019-01-27,26
2019-02-03,28
2019-02-10,26
2019-02-17,30
2019-02-24,27
2019-03-03,30
2019-03-10,30
2019-03-17,28
2019-03-24,28
2019-03-31,22
2019-04-07,26
2019-04-14,25
2019-04-21,25
2019-04-28,26
2019-05-05,20
2019-05-12,23
2019-05-19,24
2019-05-26,22
2019-06-02,31
2019-06-09,28
2019-06-16,26
2019-06-23,27
2019-06-30,33
2019-07-07,34
2019-07-14,30
2019-07-21,30
2019-07-28,38
2019-08-04,36
2019-08-11,41
2019-08-18,41
2019-08-25,38
2019-09-01,38
2019-09-08,35
2019-09-15,36
2019-09-22,32
2019-09-29,39
2019-10-06,37
2019-10-13,34
2019-10-20,33
2019-10-27,31
2019-11-03,31
2019-11-10,33
2019-11-17,33
2019-11-24,30
2019-12-01,31
2019-12-08,32
2019-12-15,31
2019-12-22,31
2019-12-29,33
2020-01-05,34
2020-01-12,37
2020-01-19,35
2020-01-26,39
2020-02-02,36
2020-02-09,35
2020-02-16,38
2020-02-23,31
2020-03-01,37
2020-03-08,33
2020-03-15,27
2020-03-22,26
2020-03-29,26
2020-04-05,30
2020-04-12,32
2020-04-19,37
2020-04-26,39
2020-05-03,41
2020-05-10,50
2020-05-17,49
2020-05-24,60
2020-05-31,100
2020-06-07,91
2020-06-14,82
2020-06-21,78
2020-06-28,72
2020-07-05,65
2020-07-12,70
2020-07-19,67
2020-07-26,62
2020-08-02,68
2020-08-09,63
2020-08-16,60
2020-08-23,63
2020-08-30,47
2020-09-06,46
2020-09-13,47
2020-09-20,42
2020-09-27,40
2020-10-04,42
2020-10-11,43
2020-10-18,45
2020-10-25,44
2020-11-01,39
2020-11-08,38
2020-11-15,39
2020-11-22,32
2020-11-29,33
2020-12-06,38
2020-12-13,34
2020-12-20,36
2020-12-27,39
2021-01-03,37
2021-01-10,38
2021-01-17,36
2021-01-24,42
